Rank,Domain,Use_Sub_www(Rel),Use_Host_Sub(Rel),Use_Host_Sub(Abs),Relative URI,Absolute URI,URI_Option
1387,nikkansports.com,True,indifferent,True,True,True,indifferent
1389,imagefap.com,True,indifferent,True,True,True,indifferent
1397,thisvid.com,indifferent,indifferent,indifferent,True,True,indifferent
1401,sitemaps.org,indifferent,indifferent,indifferent,True,True,indifferent
1408,ixxx.com,unknown,True,True,True,True,indifferent
1411,sxyprn.com,indifferent,indifferent,indifferent,True,True,indifferent
1412,leroymerlin.fr,True,indifferent,True,True,True,indifferent
1418,spamhaus.org,unknown,True,True,True,True,indifferent
1423,wunderground.com,unknown,True,True,True,True,indifferent
1424,index.hr,unknown,True,True,True,True,indifferent
1429,fanpage.it,unknown,True,True,True,True,indifferent
1433,www.foxnews.com,indifferent,indifferent,indifferent,True,True,indifferent
1437,www.amazon.co.uk,True,indifferent,indifferent,True,True,indifferent
1439,www.roblox.com,True,indifferent,indifferent,True,True,indifferent
1440,www.google.com.mx,True,indifferent,indifferent,True,True,indifferent
1441,milanuncios.com,True,indifferent,True,True,True,indifferent
1442,sky.com,unknown,True,True,True,True,indifferent
1443,www.bbc.com,True,indifferent,indifferent,True,True,indifferent
1444,justdial.com,unknown,True,True,True,True,indifferent
1447,www.tripadvisor.com,indifferent,indifferent,indifferent,True,True,indifferent
1448,ifilo.net,indifferent,indifferent,True,True,True,indifferent
1450,ajio.com,unknown,True,True,True,True,indifferent
1452,amarujala.com,True,indifferent,True,True,True,indifferent
1453,medicalnewstoday.com,True,indifferent,True,True,True,indifferent
1455,www.dailymotion.com,True,indifferent,indifferent,True,True,indifferent
1459,www.google.nl,True,indifferent,indifferent,True,True,indifferent
1461,www.booking.com,True,indifferent,indifferent,True,True,indifferent
1463,emag.ro,True,indifferent,True,True,True,indifferent
1464,www.google.ca,True,indifferent,indifferent,True,True,indifferent
1465,scientificamerican.com,True,indifferent,True,True,True,indifferent
1467,iltalehti.fi,True,indifferent,True,True,True,indifferent
1470,inps.it,True,indifferent,True,True,True,indifferent
1472,protothema.gr,unknown,True,True,True,True,indifferent
1473,www.temu.com,True,indifferent,indifferent,True,True,indifferent
1477,www.amazon.de,indifferent,indifferent,indifferent,True,True,indifferent
1480,khabaronline.ir,True,indifferent,True,True,True,indifferent
1481,www.pornhub.com,True,indifferent,indifferent,True,True,indifferent
1482,jutarnji.hr,unknown,True,True,True,True,indifferent
1483,plesk.com,unknown,True,True,True,True,indifferent
1486,carsensor.net,True,indifferent,True,True,True,indifferent
1488,otomoto.pl,True,indifferent,True,True,True,indifferent
1492,www.google.com.tr,True,indifferent,indifferent,True,True,indifferent
1493,www.google.co.th,True,indifferent,indifferent,True,True,indifferent
1494,frontiersin.org,True,indifferent,True,True,True,indifferent
1497,shutterstock.com,True,indifferent,True,True,True,indifferent
1503,amazon.eg,unknown,True,True,True,True,indifferent
1505,www.bbc.co.uk,True,indifferent,indifferent,True,True,indifferent
1506,blic.rs,True,indifferent,True,True,True,indifferent
1509,www.google.com.hk,True,indifferent,indifferent,True,True,indifferent
1512,livehindustan.com,unknown,True,True,True,True,indifferent
1516,togetter.com,indifferent,indifferent,True,True,True,indifferent
1518,www.target.com,True,indifferent,indifferent,True,True,indifferent
1520,unotv.com,unknown,True,True,True,True,indifferent
1523,markt.de,unknown,True,True,True,True,indifferent
1525,turkiye.gov.tr,indifferent,indifferent,indifferent,True,True,indifferent
1526,cmoa.jp,True,indifferent,True,True,True,indifferent
1527,bt.dk,unknown,True,True,True,True,indifferent
1528,meetup.com,True,indifferent,True,True,True,indifferent
1532,namasha.com,True,indifferent,True,True,True,indifferent
1533,fuq.com,unknown,True,True,True,True,indifferent
1534,mintnav.com,indifferent,indifferent,indifferent,True,True,indifferent
1538,www.twitch.tv,True,indifferent,indifferent,True,True,indifferent
1542,www.bestbuy.com,indifferent,indifferent,indifferent,True,True,indifferent
1543,m.vk.com,indifferent,indifferent,indifferent,True,True,indifferent
1544,eenadu.net,True,indifferent,True,True,True,indifferent
1545,www.redfin.com,True,indifferent,indifferent,True,True,indifferent
